r11eu27,EQL_capita_1990,EQL_capita_2015,RES_emiss_1850co2_1989,RES_emiss_1850co2_2014,RES_emiss_1990co2_2014,RES_emiss_1990co2cons_2014,RES_cmltvcapita_1850co2_1989,RES_cmltvcapita_1850co2_2014,RES_cmltvcapita_1990co2_2014,RES_cmltvcapita_1990co2cons_2014,CAP_gdp2017pppcapita_1990,CAP_gdp2017pppcapita_2014,CAP_capstock2017pppcapita_1990,CAP_capstock2017pppcapita_2014
AFR,492156770,961553461,11.482779464743697,26.509581026594756,15.026801561851059,11.552870935606467,0.4912471003754115,0.6527215617922415,0.8716663408684057,0.6701525067404,2966.0734276398207,3834.130701047698,7049.483255430263,13557.503616900374
CPA,1262641591,1543734416,45.38218536560558,185.7050899991807,140.32290463357512,120.96925019852785,0.5616863814084798,1.6007896757662943,3.9850741907948595,3.435443686864887,1597.9672208865882,11696.55795117184,4865.661432874863,51644.84706789208
EU27,384711909,409341065,166.01367708432426,248.18995725802642,82.17628017370218,98.92804147682773,4.414144735715549,5.222855167645101,8.291840426164379,9.982144870331272,31832.93532352718,41398.38598664958,101722.01234908623,236343.91720090958
FSU,281858831,288132971,101.65686017456407,165.06660343040235,63.409743255838286,45.3594448806864,4.922980848283746,5.956278118756541,8.976982353072806,6.421583109021804,16719.626637717163,19256.447012430694,72567.83841357165,88824.58366948298
LAM,439241176,619813810,24.68087429194711,60.33968205393176,35.658807761984654,34.6735334634956,1.3133779548908044,1.8825564099555765,2.6891837282587914,2.6148799649626713,10550.16473333756,15975.126248269455,23383.430127610623,63022.843958163074
MEA,281582629,488754711,16.102648114210044,57.67778702697786,41.57513891276782,31.604370840268558,1.3637687182706253,2.729830411322116,4.460256258000673,3.390574187045989,10227.6365898161,16209.611103057307,24236.078638012565,58475.98062347509
NAM,279530042,364114036,260.6318096501705,415.7009399462066,155.0691302960361,160.9017297675145,14.647935623826323,16.078680275766665,19.236730544160153,19.96027973922331,40192.736683902585,56112.22121754905,151675.8135858187,203530.0234949736
PAO,144131710,155661767,35.76965086840499,76.52402799983702,40.75437713143202,45.76431989884705,3.538603571373509,5.517220276199057,10.83424917384285,12.166105335300491,32516.683813848365,40891.45789008815,117729.45241824786,214991.64275030556
PAS,431823084,609194409,11.041679779266056,48.5079623168072,37.46628253754115,40.84069688688161,0.5571564547083058,1.4794191149818514,2.8885535429036158,3.1487121672412592,5887.307921172285,13417.520785984476,12344.320472888587,63620.78884677678
REU,175346274,209108372,82.27122545260049,113.88866361551338,31.617438162912887,34.86163354413357,5.7069189139039125,5.941563483280378,6.653388004496867,7.336077428049747,20632.195584274865,32039.739129820853,53821.60869608691,141332.6776642576
SAS,1141312743,1775545250,11.73341288918277,45.17009482699894,33.43668193781617,31.796282585325976,0.17822007904510548,0.4418599437589828,0.9188292664823907,0.8737516198250503,1966.936265810847,4909.901981170092,2951.630338762848,18700.447654982006
